boss,enc,dur,dps,bc
아베르지안,3176,275.515,161284.98629839,True
아베르지안,3176,277.937,153466.69928797,True
아베르지안,3176,217.292,153149.22776724,True
아베르지안,3176,343.795,151295.01010777,True
아베르지안,3176,273.757,149955.55182151,True
아베르지안,3176,274.049,149935.50788363,True
아베르지안,3176,267.103,149555.17534434,True
아베르지안,3176,356.897,149352.96177889,True
아베르지안,3176,373.509,147092.5519867,True
아베르지안,3176,345.71,146994.02967805,False
아베르지안,3176,282.659,146514.70853573,True
아베르지안,3176,298.547,146503.93070438,True
아베르지안,3176,340.33,146262.50110187,True
아베르지안,3176,260.503,145893.42541161,True
아베르지안,3176,258.284,145709.60647969,True
아베르지안,3176,291.723,145634.01925799,True
아베르지안,3176,372.897,145525.6009032,True
아베르지안,3176,286.993,145485.97352549,True
아베르지안,3176,235.902,145396.19418233,True
아베르지안,3176,281.196,145191.91595898,True
아베르지안,3176,339.437,145186.88887776,True
아베르지안,3176,298.728,145143.56538389,True
아베르지안,3176,289.039,144975.53271358,True
아베르지안,3176,273.285,144679.41892164,True
아베르지안,3176,301.959,144588.4341914,True
아베르지안,3176,215.279,144512.39554253,True
아베르지안,3176,207.569,144470.06537585,True
아베르지안,3176,290.234,144246.21856847,True
아베르지안,3176,262.826,144137.78317214,True
아베르지안,3176,279.934,144080.62257532,True
아베르지안,3176,340.104,144063.70110319,True
아베르지안,3176,343.645,143821.10026335,True
아베르지안,3176,224.942,143756.86176881,True
아베르지안,3176,204.279,143643.38478258,True
아베르지안,3176,366.265,143639.51783545,True
아베르지안,3176,203.827,143526.21095341,False
아베르지안,3176,342.789,143455.47844301,True
아베르지안,3176,292.178,143359.14066083,True
아베르지안,3176,278.1,143230.73714491,True
아베르지안,3176,267.442,143215.38127893,True
아베르지안,3176,318.598,143095.49024162,True
아베르지안,3176,271.558,143083.88999772,True
아베르지안,3176,379.702,143080.55001027,True
아베르지안,3176,279.635,142951.5332487,True
아베르지안,3176,277.942,142886.65980672,True
아베르지안,3176,335.971,142832.68496388,True
아베르지안,3176,376.091,142822.55624304,True
아베르지안,3176,352.32,142646.70470027,True
아베르지안,3176,374.777,142459.31313821,True
아베르지안,3176,242.794,142252.41562806,True
아베르지안,3176,319.265,142206.8720342,True
아베르지안,3176,364.053,142000.02197482,True
아베르지안,3176,288.496,141985.92354833,True
아베르지안,3176,303.584,141939.65426373,True
아베르지안,3176,258.755,141882.06604703,True
아베르지안,3176,282.024,141797.78671319,True
아베르지안,3176,262.46,141671.74045569,True
아베르지안,3176,200.478,141597.75636229,True
아베르지안,3176,223.048,141588.55941322,True
아베르지안,3176,357.329,141390.46648887,True
아베르지안,3176,258.012,141336.69751794,True
아베르지안,3176,239.094,141304.86335918,True
아베르지안,3176,271.883,141181.07053402,True
아베르지안,3176,230.246,141092.77902765,True
아베르지안,3176,268.061,141089.66615808,True
아베르지안,3176,283.724,140981.88380257,True
아베르지안,3176,328.142,140890.02626912,True
아베르지안,3176,299.688,140739.51576306,True
아베르지안,3176,353.865,140715.93969452,True
아베르지안,3176,282.712,140668.9210221,True
아베르지안,3176,261.792,140596.25198631,True
아베르지안,3176,290.934,140582.07016024,True
아베르지안,3176,275.279,140529.23397716,True
아베르지안,3176,293.886,140510.52448909,True
아베르지안,3176,338.833,140490.14411229,True
아베르지안,3176,335.2,140446.0173031,True
아베르지안,3176,294.784,140430.33543205,True
아베르지안,3176,270.364,140421.36527052,True
아베르지안,3176,218.971,140378.9086226,True
아베르지안,3176,279.727,140370.56129726,True
아베르지안,3176,288.714,140363.22796955,True
아베르지안,3176,283.477,140354.23332404,True
아베르지안,3176,263.733,140353.20570425,True
아베르지안,3176,297.613,140352.61564515,True
아베르지안,3176,299.169,140319.4314919,True
아베르지안,3176,271.182,140305.70244338,True
아베르지안,3176,219.736,140170.2361015,True
아베르지안,3176,336.5,140127.08172363,True
아베르지안,3176,286.524,140119.54670464,True
아베르지안,3176,357.419,140016.84577485,True
아베르지안,3176,309.081,139913.35604583,True
아베르지안,3176,310.865,139874.90068036,True
아베르지안,3176,267.704,139807.13773421,True
아베르지안,3176,269.596,139767.33705248,True
아베르지안,3176,314.939,139749.36098737,True
아베르지안,3176,255.698,139739.25490227,True
아베르지안,3176,218.623,139726.10384086,True
아베르지안,3176,296.786,139707.0448067,True
아베르지안,3176,319.699,139696.17358828,True
아베르지안,3176,288.557,139676.75710518,True
아베르지안,3176,352.567,139670.1619834,True
아베르지안,3176,218.11,139646.6461877,False
아베르지안,3176,279.474,139644.77912078,True
아베르지안,3176,341.234,139578.95754819,True
아베르지안,3176,277.258,139533.28668605,True
아베르지안,3176,290.767,139471.26393298,True
아베르지안,3176,209.155,139464.12469221,True
아베르지안,3176,196.098,139448.67872186,False
아베르지안,3176,281.881,139384.20468212,True
아베르지안,3176,308.89,139381.21337693,True
아베르지안,3176,305.531,139340.45645123,True
아베르지안,3176,281.395,139311.19245189,True
아베르지안,3176,356.827,139309.29834345,True
아베르지안,3176,201.543,139283.23484318,False
아베르지안,3176,199.889,139275.13269865,False
아베르지안,3176,352.085,139227.48768053,True
아베르지안,3176,343.462,139214.61180567,True
아베르지안,3176,288.486,139196.61266058,True
아베르지안,3176,322.378,139171.22136126,True
아베르지안,3176,346.142,139157.88895887,True
아베르지안,3176,229.424,139120.34050492,False
아베르지안,3176,291.503,139106.50319208,True
아베르지안,3176,197.686,139104.74186336,False
아베르지안,3176,258.709,139075.316282,True
아베르지안,3176,299.074,139031.89511626,True
아베르지안,3176,284.135,138998.72947719,True
아베르지안,3176,288.767,138947.00571741,True
아베르지안,3176,236.356,138855.6034118,True
아베르지안,3176,180.982,138706.40726702,False
아베르지안,3176,209.773,138693.08252254,True
아베르지안,3176,333.561,138687.18165493,True
아베르지안,3176,278.376,138681.90864155,True
아베르지안,3176,308.596,138671.52198992,True
아베르지안,3176,287.519,138669.27403059,True
아베르지안,3176,273.158,138641.20399183,True
아베르지안,3176,310.674,138639.10079376,True
아베르지안,3176,261.16,138597.31582172,True
아베르지안,3176,282.708,138591.22133084,True
아베르지안,3176,291.285,138533.41915993,True
아베르지안,3176,289.547,138447.15020359,True
아베르지안,3176,286.129,138438.55044403,True
아베르지안,3176,295.779,138430.64247293,True
아베르지안,3176,293.471,138428.60452992,True
아베르지안,3176,291.542,138399.63367199,True
아베르지안,3176,261.071,138366.76995913,True
아베르지안,3176,271.145,138349.35182283,True
아베르지안,3176,375.95,138288.90277962,True
아베르지안,3176,210.27,138285.02877253,True
아베르지안,3176,263.757,138277.69879093,True
아베르지안,3176,279.186,138221.25393107,True
아베르지안,3176,288.538,138143.0695437,True
아베르지안,3176,290.934,138142.80558477,True
아베르지안,3176,290.041,138119.75893063,True
아베르지안,3176,182.718,138082.46040346,False
아베르지안,3176,273.613,138013.83706184,True
아베르지안,3176,210.77,138006.12516013,True
아베르지안,3176,288.949,137989.61408415,True
아베르지안,3176,282.238,137973.01213869,True
아베르지안,3176,363.602,137968.37476141,True
아베르지안,3176,374.458,137962.04914837,True
아베르지안,3176,289.514,137953.07998922,True
아베르지안,3176,288.482,137940.84899578,True
아베르지안,3176,311.583,137936.50808934,True
아베르지안,3176,328.634,137854.91762873,True
아베르지안,3176,355.144,137822.70571937,True
아베르지안,3176,208.132,137740.75106183,True
아베르지안,3176,354.15,137739.16419596,True
아베르지안,3176,200.707,137737.93141246,False
