rank,character,guild,server,region,dps,ilvl,duration_s,crit,haste,mastery,vers,report_id,fight_id,source_id,world_tender_count,world_tender_2p,world_tender_slots,world_tender_names,arcanoweave_bonus_count,arcanoweave_bonus_slots,arcanoweave_bonus_names,arcanoweave_source,arcanoweave_source_events,arcanoweave_self_events,arcanoweave_received_events,embellished_8791_count,embellished_8791_slots,embellished_8791_names,crafted_8960_count,crafted_8960_names,tier_count,tier_slots,tier_chest,tier_shoulder,chest_item,shoulder_item,belt_item,boots_item,wrist_item,back_item,ring1_item,ring2_item,strategy,gear_ids
4,打睡着了,The Six Army,熊猫酒仙,CN,165808.3267899,291.0,565.452,739,756,1476,72,4N7dxrvAKwjXbnpC,1,1,0,False,,,0,,,False,0,0,14,2,wrist;ring2,"Farstrider's Plated Bracers (244584, 285);Masterwork Sin'dorei Band (240949, 285)",2,"Farstrider's Plated Bracers (244584, 285);Masterwork Sin'dorei Band (240949, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Whipcoil Sabatons (251084, 289)","Farstrider's Plated Bracers (244584, 285)","Potion-Stained Cloak (193712, 289)","Sporecaller's Blooming Loop (268290, 298)","Masterwork Sin'dorei Band (240949, 285)",other_embellishment_2x,249988;250247;249318;268274;249991;249371;249987;251084;244584;249989;268290;240949;249806;249343;193712;249279
8,最高的山,,血色十字军,CN,162051.05655736,291.0,569.917,877,683,1140,0,BKWcYLx3G8AtyXT2,80,1137,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,74,35,59,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Grudgefiend Stompers (268287, 298)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Bond of Light (249369, 289)","Sin'dorei Band of Hope (249919, 289)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;268287;244584;249989;249369;249919;249343;193701;239656;249279
10,爆炸丶杨梅,小 法 狮,国王之谷,CN,161726.34893324,291.0,574.213,996,724,1302,0,QaHbWfzTRm8xnFy2,47,497,0,False,,,1,wrist,"Farstrider's Plated Bracers (244584, 285)",True,55,30,43,1,wrist,"Farstrider's Plated Bracers (244584, 285)",1,"Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Grudgefiend Stompers (268287, 298)","Farstrider's Plated Bracers (244584, 285)","Draconic Nullcape (249370, 289)","Sin'dorei Band of Hope (249919, 289)","Eye of Midnight (249920, 289)",arcanoweave_1x_or_mixed,249988;250247;249318;249991;249985;249987;268287;244584;249989;249919;249920;249343;249806;249370;249288
11,橘市,The Six Army,熊猫酒仙,CN,161383.87282199,290.0,556.7,751,689,1495,114,XDPfG8v7nqx312gQ,104,730,0,False,,,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",True,56,29,44,2,boots;wrist,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Razor Talons (244577, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","Waistcord of the Judged (249303, 289)","Farstrider's Razor Talons (244577, 285)","Farstrider's Plated Bracers (244584, 285)","Potion-Stained Cloak (193712, 289)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",arcanoweave_2x,249988;250247;193704;52019;249991;249303;249987;244577;244584;249989;249920;249369;249806;249343;193712;249288;46874
12,Onedarkholme,,Stormrage,US,160949.33400624,290.0,554.81,821,669,1259,53,4TmaYRn6XkG1xWF3,1,28,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,22,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Bifurcation Band (251115, 289)","Sin'dorei Band of Hope (249919, 289)",world_tender_2p,249988;250247;249318;249991;244611;249987;244610;249304;249989;251115;249919;249343;193701;249370;249279
13,穿十,,血色十字军,CN,160912.16728422,290.0,564.596,1098,392,1150,52,2JdbfFwgaH4p69Ky,105,1709,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,22,1,ring1,"Masterwork Sin'dorei Band (240949, 285)",2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Spaulders of Arrow's Flight (251097, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Masterwork Sin'dorei Band (240949, 285)","Sin'dorei Band of Hope (249919, 289)",world_tender_2p,249988;250247;251097;249991;244611;249987;244610;249304;249989;240949;249919;249343;193701;249370;249288;233290
14,抄作业,,熊猫酒仙,CN,160859.59059391,290.0,573.416,813,755,1471,16,Lw41TrzB3qMdGFDP,14,13,0,False,,,2,boots;back,"Farstrider's Razor Talons (244577, 285);Adherent's Silken Shroud (239656, 285)",True,57,29,53,2,boots;back,"Farstrider's Razor Talons (244577, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Razor Talons (244577, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Farstrider's Razor Talons (244577, 285)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)","Platinum Star Band (193708, 289)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;250247;249318;249991;249371;249987;244577;249304;249989;193708;249920;249806;249343;239656;249279
16,동칩,고양이 발바닥,아즈샤라,KR,160369.86059938,291.0,539.022,832,857,1010,41,yZDwF72mLBQzjGvC,62,92,2,True,chest;belt,"World Tender's Trunkplate (244609, 285);World Tender's Barkclasp (244611, 285)",0,,,False,0,0,21,0,,,2,"World Tender's Trunkplate (244609, 285);World Tender's Barkclasp (244611, 285)",4,head;shoulder;legs;hands,False,True,"World Tender's Trunkplate (244609, 285)","Primal Sentry's Trophies (249986, 289)","World Tender's Barkclasp (244611, 285)","Primal Sentry's Swiftsteps (249990, 298)","Fallen King's Cuffs (249304, 289)","Rigid Scale Greatcloak (258575, 289)","Occlusion of Void (251217, 289)","Omission of Light (251093, 289)",world_tender_2p,249988;268291;249986;16060;244609;244611;249987;249990;249304;249989;251217;251093;249343;193701;258575;249279;157758
17,一桶水果茶丶,小 法 狮,国王之谷,CN,160196.9759832,291.0,576.055,889,697,1326,83,4yhwrVa3MJKfWpBN,107,1657,0,False,,,1,wrist,"Farstrider's Plated Bracers (244584, 285)",True,65,30,57,0,,,1,"Farstrider's Plated Bracers (244584, 285)",5,head;shoulder;chest;legs;hands,True,True,"Primal Sentry's Scaleplate (249991, 289)","Primal Sentry's Trophies (249986, 289)","Waistcord of the Judged (249303, 289)","Primal Sentry's Swiftsteps (249990, 298)","Farstrider's Plated Bracers (244584, 285)","Rigid Scale Greatcloak (258575, 289)","Sin'dorei Band of Hope (249919, 289)","Bond of Light (249369, 289)",arcanoweave_1x_or_mixed,249988;250247;249986;249991;249303;249987;249990;244584;249989;249919;249369;249343;249806;258575;249279
18,Firaa,DMG,Illidan,US,160193.40344515,290.0,551.5,523,1055,1120,52,6nWZwM4kDpThV1CG,54,51,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,35,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Eye of Midnight (249920, 289)","Omission of Light (251093, 289)",world_tender_2p,249988;250247;249318;6795;249991;244611;249987;244610;249304;249989;249920;251093;249343;193701;249370;249279
