rank,character,guild,server,region,dps,ilvl,duration_s,pi_received,hero,crit,haste,mastery,vers,report_id,fight_id,start_time
4,打睡着了,The Six Army,熊猫酒仙,CN,165808.3267899,291.0,565.452,False,PackLeader,739,756,1476,72,4N7dxrvAKwjXbnpC,1,1782046580176
8,最高的山,,血色十字军,CN,162051.05655736,291.0,569.917,False,PackLeader,877,683,1140,0,BKWcYLx3G8AtyXT2,80,1782030180639
10,爆炸丶杨梅,小 法 狮,国王之谷,CN,161726.34893324,291.0,574.213,False,PackLeader,996,724,1302,0,QaHbWfzTRm8xnFy2,47,1782052368309
11,橘市,The Six Army,熊猫酒仙,CN,161383.87282199,290.0,556.7,False,PackLeader,751,689,1495,114,XDPfG8v7nqx312gQ,104,1782118886092
12,Onedarkholme,,Stormrage,US,160949.33400624,290.0,554.81,False,PackLeader,821,669,1259,53,4TmaYRn6XkG1xWF3,1,1782005459557
13,穿十,,血色十字军,CN,160912.16728422,290.0,564.596,False,PackLeader,1098,392,1150,52,2JdbfFwgaH4p69Ky,105,1782032511911
14,抄作业,,熊猫酒仙,CN,160859.59059391,290.0,573.416,False,PackLeader,813,755,1471,16,Lw41TrzB3qMdGFDP,14,1781968019362
16,동칩,고양이 발바닥,아즈샤라,KR,160369.86059938,291.0,539.022,False,PackLeader,832,857,1010,41,yZDwF72mLBQzjGvC,62,1782135839216
17,一桶水果茶丶,小 法 狮,国王之谷,CN,160196.9759832,291.0,576.055,False,PackLeader,889,697,1326,83,4yhwrVa3MJKfWpBN,107,1781787710655
18,Firaa,DMG,Illidan,US,160193.40344515,290.0,551.5,False,PackLeader,523,1055,1120,52,6nWZwM4kDpThV1CG,54,1781674520023
20,莓莓车厘子,小 法 狮,国王之谷,CN,159831.83441755,291.0,579.53,False,PackLeader,970,688,1343,41,QaHbWfzTRm8xnFy2,24,1782046458216
21,耶丶问,,燃烧之刃,CN,159790.72512648,289.0,575.21,False,PackLeader,919,679,1068,0,GxJ2KCV1qAZj6zyk,14,1781852068013
22,은칩,고양이 발바닥,아즈샤라,KR,159786.66885912,291.0,535.168,False,PackLeader,729,960,1019,73,GXfdrkp9QYcvFaqZ,1,1781874011765
23,下雨天,The Six Army,鬼雾峰,CN,159721.13990224,292.0,565.452,False,PackLeader,730,725,1296,16,4N7dxrvAKwjXbnpC,1,1782046580176
25,葡玉丶问墨,小 法 狮,国王之谷,CN,159584.79317459,290.0,571.98,False,PackLeader,1044,869,1127,0,Kv1GqgDVzb8WPk7M,15,1781932863517
26,劈星逮月,,影之哀伤,CN,159336.60758889,290.0,552.492,False,PackLeader,699,777,1535,0,9WXmfyLz1wTvxbAn,57,1781878263486
27,毛利二五郎当,,血色十字军,CN,159332.82792535,290.0,566.539,False,PackLeader,747,766,1193,52,KCxvkbjmhAZGVqTP,26,1781764767359
29,Блессито,Гнев Анархии,Ревущий фьорд,EU,158722.3395263,290.0,579.69,False,PackLeader,812,745,1106,52,zJ7TpQwPCbRaYnfB,4,1782051555736
30,高圆圆丿,,埃德萨拉,CN,158599.68278757,290.0,575.009,False,PackLeader,857,730,1402,0,BXRwMZatV49A1Dcm,10,1782051311944
31,相愛不會害怕,iuiuiuiui,凤凰之神,CN,158494.65624587,290.0,559.906,False,PackLeader,633,827,1585,0,xWYabdvVKqRT8C3Q,17,1781935898753
32,绝三十二,,丽丽（四川）,CN,158494.49187384,290.0,575.241,False,PackLeader,918,709,1371,16,dKkcq8DYpf9F6AbV,61,1781769588083
33,索尼的机子丶,,伊森利恩,CN,158454.81391861,291.0,586.84,False,PackLeader,877,800,1045,0,ApqNa2zgQLdCrYD6,16,1781939303252
34,阿绝五,,丽丽（四川）,CN,158249.64463179,290.0,570.535,False,PackLeader,1151,834,1043,16,CPr6bq8FQMZ7Tamj,10,1782025931982
36,老瓜子停,,安苏,CN,157793.71844364,290.0,560.307,False,PackLeader,685,779,1567,0,hXGTNpgkmrbLtynW,63,1781775219618
37,Jxv,The Six Army,熊猫酒仙,CN,157722.83842159,290.0,569.711,False,PackLeader,988,625,1371,16,CLfgQ2NkPGvxWnmB,28,1781962515757
39,性感小光头,,凤凰之神,CN,157579.4309088,291.0,589.185,False,PackLeader,967,567,1424,0,BF7MnCzrky3h4bP6,85,1781945107549
40,反诈,The Six Army,熊猫酒仙,CN,157532.56058072,290.0,562.06,False,PackLeader,1121,427,1355,16,fkWBpAhd3FCDr4Z7,18,1782030808096
41,Jxk,The Six Army,熊猫酒仙,CN,157454.10065279,291.0,561.435,False,PackLeader,759,791,1138,72,vYDfGJCVp81hmW26,15,1781965343489
42,马里浪我火雷,,血色十字军,CN,157450.25468539,291.0,557.158,False,PackLeader,986,405,1275,52,hWfYP8vcDVTrAz3X,172,1781800100220
45,Chazh,Honestly,Frostmourne,US,157055.78965306,290.0,516.404,False,PackLeader,1093,392,1154,100,1GcnD9Xkryx4TPK3,38,1782042155126
