class,spec,bosses,total_n,avg_cv,avg_median_to_top,avg_p90_to_p10,score_cv,score_mtt,ease_score
Mage,Frost,6,569,0.0375617385836983,0.8966436211831239,1.0941557657240006,1.0,1.0,1.0
Rogue,Assassination,3,127,0.0505547505036061,0.8951152288936249,1.1357098012243902,0.8729007965614318,0.9864121568194548,0.9296564766904434
Hunter,Beast Mastery,5,460,0.0506398205605412,0.871163316865578,1.1409049001063627,0.8720686310451085,0.7734728304780446,0.8227707307615766
Warlock,Demonology,6,568,0.05007070351997535,0.8540928663139796,1.1289642986847463,0.8776358023034065,0.6217116584870452,0.7496737303952259
Death Knight,Unholy,6,422,0.06236992340918848,0.8656622865993144,1.1558470041533198,0.7573233558536632,0.7245671031310913,0.7409452294923773
Rogue,Subtlety,5,498,0.06683007239856359,0.8651977951861644,1.1801412085164131,0.713693642646186,0.7204376420470772,0.7170656423466315
Warrior,Fury,5,419,0.06746764562717074,0.8613827749971447,1.1722486157055474,0.7074568247328918,0.6865210249487229,0.6969889248408074
Evoker,Augmentation,6,562,0.053386956210948446,0.8453215006751628,1.1352737190451392,0.8451958201020603,0.5437317173434423,0.6944637687227513
Demon Hunter,Devourer,6,580,0.05506085723123287,0.8469263010816709,1.147302399907803,0.8288215192375179,0.5579988504672659,0.6934101848523919
Warlock,Destruction,4,207,0.07430679203214775,0.8527569229123455,1.189260374087622,0.6405554730193244,0.6098347407845625,0.6251951069019435
Paladin,Retribution,5,500,0.05627248723365797,0.8261146800787987,1.1348748976282537,0.8169692090018482,0.37297760660017665,0.5949734078010125
Hunter,Marksmanship,5,342,0.07760626849434336,0.842145953561845,1.2097953402382537,0.6082795979031916,0.5155001981944284,0.5618898980488101
Hunter,Survival,5,440,0.07808267007350067,0.8164349629896674,1.1962252864165615,0.6036193804262113,0.28692216210282456,0.445270771264518
Shaman,Elemental,5,500,0.06836718465675427,0.8046759933147696,1.1900415949960923,0.6986574258847469,0.18238156934723235,0.44051949761598963
Demon Hunter,Havoc,4,215,0.07417355444845697,0.8069643660652392,1.1848394770235702,0.6418588190686905,0.20272585548741426,0.4222923372780524
Priest,Shadow,5,495,0.08103272248151368,0.8097633574941773,1.2031758290375043,0.5747616133840685,0.22760968725063757,0.40118565031735304
Druid,Balance,5,500,0.08167498726306613,0.8087507136792881,1.2411023223954745,0.5684789021362717,0.21860699504327633,0.393542948589774
Monk,Windwalker,5,448,0.08238611923654071,0.8047510075429674,1.229567135729868,0.561522523744143,0.18304846722159626,0.37228549548286965
Shaman,Enhancement,4,257,0.08401567332189316,0.7910454689086106,1.230273399955566,0.5455820299244598,0.061202321472201046,0.30339217569833044
Warrior,Arms,4,217,0.10684911206727503,0.811455215515845,1.324259186387413,0.32222258915809066,0.24265078739234555,0.2824366882752181
Evoker,Devastation,3,151,0.13978906628042778,0.7841612890579424,1.4696951516609644,0.0,0.0,0.0
