class,spec,cluster,n_players,talent_id,pick_rate_in_cluster,pick_rate_other,gap
Druid,Balance,0,364,109843,0.764,0.0,0.764
Druid,Balance,0,364,109870,0.615,0.04,0.575
Druid,Balance,0,364,109847,0.352,0.002,0.35
Druid,Balance,0,364,135977,0.349,0.0,0.349
Druid,Balance,0,364,135978,0.349,0.0,0.349
Druid,Balance,0,364,135976,0.349,0.0,0.349
Druid,Balance,0,364,117204,0.349,0.0,0.349
Druid,Balance,0,364,123302,0.349,0.0,0.349
Druid,Balance,0,364,117205,0.349,0.0,0.349
Druid,Balance,0,364,117769,0.349,0.0,0.349
Druid,Balance,1,501,133406,1.0,0.0,1.0
Druid,Balance,1,501,128232,0.367,0.008,0.359
Druid,Balance,1,501,117894,1.0,0.648,0.352
Druid,Balance,1,501,109844,1.0,0.651,0.349
Druid,Balance,1,501,135972,1.0,0.651,0.349
Druid,Balance,1,501,117203,1.0,0.651,0.349
Druid,Balance,1,501,135970,1.0,0.651,0.349
Druid,Balance,1,501,135971,1.0,0.651,0.349
Druid,Balance,1,501,117194,1.0,0.651,0.349
Druid,Balance,1,501,117186,1.0,0.651,0.349
Druid,Feral,0,235,103181,0.983,0.099,0.884
Druid,Feral,0,235,103145,0.872,0.01,0.862
Druid,Feral,0,235,134211,0.791,0.002,0.79
Druid,Feral,0,235,117230,0.723,0.071,0.652
Druid,Feral,0,235,103153,0.528,0.01,0.518
Druid,Feral,0,235,103156,0.511,0.089,0.422
Druid,Feral,1,507,103174,0.998,0.068,0.93
Druid,Feral,1,507,103170,0.959,0.055,0.903
Druid,Feral,1,507,103164,0.925,0.034,0.891
Druid,Feral,1,507,117229,0.927,0.077,0.85
Druid,Feral,1,507,103185,0.998,0.4,0.598
Druid,Feral,1,507,128584,0.949,0.562,0.387
Druid,Feral,1,507,103173,0.892,0.511,0.381
Druid,Feral,1,507,103159,0.992,0.668,0.324
Druid,Feral,1,507,117234,0.996,0.689,0.307
Hunter,Beast Mastery,0,465,126434,1.0,0.007,0.993
Hunter,Beast Mastery,0,465,126426,1.0,0.007,0.993
Hunter,Beast Mastery,0,465,126417,0.994,0.002,0.991
Hunter,Beast Mastery,0,465,126403,0.994,0.005,0.989
Hunter,Beast Mastery,0,465,126425,0.994,0.005,0.989
Hunter,Beast Mastery,0,465,126421,0.996,0.007,0.989
Hunter,Beast Mastery,0,465,126432,0.951,0.0,0.951
Hunter,Beast Mastery,0,465,126399,0.955,0.012,0.943
Hunter,Beast Mastery,0,465,126401,0.834,0.0,0.834
Hunter,Beast Mastery,0,465,126406,0.744,0.009,0.735
Hunter,Beast Mastery,1,433,126430,0.993,0.0,0.993
Hunter,Beast Mastery,1,433,132188,0.993,0.0,0.993
Hunter,Beast Mastery,1,433,132189,0.993,0.0,0.993
Hunter,Beast Mastery,1,433,126439,0.984,0.0,0.984
Hunter,Beast Mastery,1,433,126435,1.0,0.024,0.976
Hunter,Beast Mastery,1,433,126427,0.993,0.022,0.972
Hunter,Beast Mastery,1,433,126407,0.998,0.03,0.968
Hunter,Beast Mastery,1,433,128265,0.991,0.131,0.86
Hunter,Beast Mastery,1,433,126400,1.0,0.166,0.834
Hunter,Beast Mastery,1,433,135709,0.882,0.196,0.687
Hunter,Marksmanship,0,239,117558,1.0,0.0,1.0
Hunter,Marksmanship,0,239,117565,1.0,0.0,1.0
Hunter,Marksmanship,0,239,117584,1.0,0.0,1.0
