pull,fight_id,start_kst,duration_s,boss_remaining_pct,last_phase,source,local_ordinal,local_replay_id,duration_delta_ms,deaths,early_deaths,first_death_s,first_death_player,first_death_cause,first_death_before_end_s,wipe_cause,terminate_begun,terminate_interrupted,terminate_completed,raid_wall_dps,raid_wall_hps,item_level,wcl_url
1,8,2026-07-19T21:21:41.556+09:00,20.278,97.43,1,local+wcl,3,log-4adc670186e1-1793c51,32,20,12,9.2,헌금쓸이,Terminate,11.08,Terminate,26,8,15,1235033.7,744906.0,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=8
2,9,2026-07-19T21:23:17.854+09:00,56.872,89.17,1,local+wcl,4,log-4adc670186e1-1e04c44,49,20,0,49.34,용단참,Dark Rune,7.54,Dissonance,12,12,0,2400760.4,836559.0,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=9
3,10,2026-07-19T21:25:11.789+09:00,20.713,96.57,1,local+wcl,5,log-4adc670186e1-31d0f53,44,20,3,10.07,더위먹은펭귄,Terminate,10.65,The Darkwell,17,11,5,1614055.4,713529.6,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=10
4,11,2026-07-19T21:26:53.095+09:00,342.438,41.6,3,local+wcl,6,log-4adc670186e1-394bdae,52,21,7,287.64,내가먼저밟아볼게,Impaled,54.79,Radiance,36,36,0,1996254.1,960891.3,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=11
5,12,2026-07-19T21:35:49.403+09:00,322.004,42.73,2,local+wcl,7,log-4adc670186e1-a49d09a,60,19,0,317.94,이세계편린헌터,Radiance,4.06,Radiance,36,36,0,2089993.4,973735.2,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=12
6,13,2026-07-19T21:44:10.539+09:00,215.991,61.11,1,local+wcl,8,log-4adc670186e1-1151ba77,60,21,4,69.96,레파도,Heaven's Glaives,146.03,Light's End,36,36,0,2284734.3,945622.7,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=13
7,14,2026-07-19T21:48:39.291+09:00,108.1,80.42,1,local+wcl,9,log-4adc670186e1-15be4da0,65,21,6,91.46,흑마언제키우냐,Heaven's Glaives,16.64,The Darkwell,24,24,0,2358574.4,872138.1,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=14
8,15,2026-07-19T21:51:58.350+09:00,222.045,58.5,2,local+wcl,10,log-4adc670186e1-17f744d9,43,20,1,197.86,진흙속에피는꽃,Starsplinter,24.19,Light's End,36,36,0,2339976.0,950568.4,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=15
9,16,2026-07-19T21:56:49.911+09:00,320.829,41.27,2,local+wcl,11,log-4adc670186e1-1cc8f395,47,19,0,317.8,이세계편린헌터,Radiance,3.03,Radiance,36,36,0,2140666.2,970905.9,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=16
10,17,2026-07-19T22:04:25.197+09:00,297.606,47.22,2,local+wcl,12,log-4adc670186e1-23633711,56,22,3,71.09,하해탈,Terminate,226.52,Iris of Oblivion,37,36,1,2112959.4,915781.7,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=17
11,18,2026-07-19T22:09:56.482+09:00,31.52,99.99,1,local+wcl,13,log-4adc670186e1-29192ef1,63,14,14,6.68,흑마언제키우냐,The Darkwell,24.84,,0,0,0,1269.8,177738.6,291.89,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=18
12,19,2026-07-19T22:21:14.309+09:00,60.083,87.8,1,local+wcl,14,log-4adc670186e1-292dc097,63,20,3,51.29,헌금쓸이,Dissonance,8.79,The Darkwell,12,12,0,2497456.9,909110.5,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=19
13,20,2026-07-19T22:23:37.882+09:00,155.239,70.45,1,local+wcl,15,log-4adc670186e1-2a7a0787,57,20,1,138.48,이디죽기,Heaven's Glaives,16.76,Cosmic Fracture,36,36,0,2576133.1,915701.7,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=20
14,21,2026-07-19T22:27:50.492+09:00,182.682,66.82,1,local+wcl,16,log-4adc670186e1-2dd9e99d,62,20,0,175.48,아함아함,Dissonance,7.2,Dissonance,36,36,0,2395928.0,903875.4,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=21
15,22,2026-07-19T22:32:06.301+09:00,317.089,43.45,2,local+wcl,17,log-4adc670186e1-31b14350,49,19,0,312.85,아함아함,Light's End,4.24,Criticality,36,36,0,2102166.7,957088.2,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=22
16,23,2026-07-19T22:39:14.908+09:00,68.095,86.59,1,local+wcl,18,log-4adc670186e1-382c148c,30,17,1,58.84,아함아함,Dark Quasar,9.26,Shattered Sky,12,12,0,2376989.0,942500.4,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=23
17,24,2026-07-19T22:41:16.600+09:00,216.317,59.71,1,local+wcl,19,log-4adc670186e1-39a9260b,59,20,1,208.0,령월,Starsplinter,8.31,Starsplinter,36,36,0,2343189.9,942388.3,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=24
18,25,2026-07-19T22:46:12.331+09:00,362.178,37.42,3,local+wcl,20,log-4adc670186e1-3e37c8fa,47,20,0,354.96,레파도,Dissonance,7.21,Dissonance,36,36,0,2000619.0,973926.9,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=25
19,26,2026-07-19T23:15:04.590+09:00,291.61,49.47,2,wcl-only,,,,22,2,134.83,더위먹은펭귄,Terminate,156.78,Radiance,37,36,1,2080538.5,953423.2,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=26
20,27,2026-07-19T23:23:14.966+09:00,239.674,56.62,2,wcl-only,,,,20,2,214.29,헌금쓸이,Dark Quasar,25.38,Iris of Oblivion,36,36,0,2242312.0,900566.2,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=27
21,28,2026-07-19T23:31:15.114+09:00,164.418,68.29,1,wcl-only,,,,21,2,133.11,내가먼저밟아볼게,Terminate,31.31,The Darkwell,37,36,1,2574492.4,896777.4,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=28
22,29,2026-07-19T23:35:06.402+09:00,151.362,71.18,1,wcl-only,,,,20,1,140.41,할머니그만줘요,Heaven's Glaives,10.96,The Darkwell,36,36,0,2604618.5,967667.1,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=29
23,30,2026-07-19T23:38:42.018+09:00,348.025,40.72,3,wcl-only,,,,21,12,308.96,이디죽기,Iris of Oblivion,39.07,Radiance,37,36,1,1990800.1,940163.6,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=30
24,31,2026-07-19T23:46:25.591+09:00,118.806,78.01,1,wcl-only,,,,19,11,105.74,프로,Radiance,13.07,Dissonance,24,24,0,2346863.5,891463.0,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=31
25,32,2026-07-19T23:49:28.529+09:00,83.318,85.54,1,wcl-only,,,,20,4,71.16,헌금쓸이,Terminate,12.16,The Darkwell,30,22,7,2067380.7,841329.1,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=32
26,33,2026-07-19T23:52:45.094+09:00,217.947,59.16,1,wcl-only,,,,21,2,198.77,프로,Dark Quasar,19.18,Naaru's Lament,36,36,0,2351398.2,947374.4,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=33
27,34,2026-07-19T23:57:51.878+09:00,121.748,76.44,1,wcl-only,,,,20,0,114.06,비누좀주워보련,Dissonance,7.69,The Darkwell,24,24,0,2415613.0,925246.7,291.9,https://ko.warcraftlogs.com/reports/CPA42mqBHXMyca86#fight=34
