pull,fight_id,duration_s,boss_pct,total_damage,dps,crit,haste,mastery,vers,agi,ilvl,trinkets,world_tender,world_tender_count,arcanoweave_items,arcanoweave_count,arcanoweave_proc,embellish_8791_items,embellish_8791_count,food_removed_on_death,augment_removed_on_death,potion_uses,potion_first_s,flask_event,head,shoulder,chest,belt,boots,wrist,back,gear_fingerprint,highest_secondary
1,4,50.7,89.59,5656748,111597.2,968,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,0,belt,1,,True,0,,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
2,5,427.1,10.19,64546750,151121.9,968,651,1435,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,23,belt,1,,False,2,74.8,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
3,6,362.4,35.81,50513290,139380.1,968,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,20,belt,1,,True,1,74.2,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
4,7,374.1,32.31,51456519,137537.6,968,651,1435,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,28,belt,1,,False,1,75.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
5,8,342.4,39.95,44682528,130510.6,968,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,21,belt,1,,True,1,73.8,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
6,9,47.5,90.93,5116533,107614.5,968,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,6,belt,1,,True,0,,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
7,10,213.3,59.09,32612165,152895.6,968,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,11,belt,1,,True,1,75.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
8,12,82.4,84.27,10107398,122620.9,969,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,4,belt,1,,True,1,74.8,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
9,13,397.8,18.75,55859245,140419.0,1338,360,1370,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,30,neck+belt,2,,False,1,74.2,,"Primal Sentry's Maw (249988, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|249318|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249288|0|233290,mastery
10,14,181.9,66,28421857,156276.5,969,651,1435,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,13,belt,1,,True,1,75.0,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249919|193708|249806|249343|239656|249279|0|233290,mastery
