class,spec,n,median_dps,avg_cv,consistency
Mage,Frost,900,150358,0.0287,1.0
Death Knight,Unholy,900,153065,0.0334,0.978
Hunter,Beast Mastery,900,142716,0.0346,0.973
Rogue,Subtlety,900,148341,0.0358,0.967
Demon Hunter,Devourer,900,151428,0.0414,0.942
Paladin,Retribution,900,146739,0.0416,0.941
Warlock,Demonology,900,152071,0.0434,0.932
Evoker,Augmentation,900,154760,0.0443,0.928
Priest,Shadow,900,141901,0.0489,0.907
Shaman,Elemental,900,157717,0.0488,0.907
Druid,Balance,900,144277,0.0497,0.903
Warrior,Fury,900,139521,0.0519,0.893
Hunter,Marksmanship,848,139236,0.0595,0.858
Warrior,Arms,900,136982,0.0609,0.852
Demon Hunter,Havoc,900,148592,0.0704,0.808
Death Knight,Frost,864,149616,0.0773,0.776
Hunter,Survival,822,147462,0.087,0.732
Monk,Windwalker,890,144037,0.0896,0.72
Warlock,Destruction,735,129927,0.0972,0.685
Warlock,Affliction,635,128816,0.0974,0.684
Shaman,Enhancement,767,135661,0.1197,0.581
Rogue,Assassination,571,120894,0.1206,0.577
Evoker,Devastation,631,119990,0.1392,0.491
Mage,Fire,666,127819,0.1394,0.49
Rogue,Outlaw,632,127056,0.1848,0.281
Druid,Feral,694,127138,0.1971,0.225
Mage,Arcane,457,106178,0.2459,0.0
