class,spec,n_with_pi,n_without_pi,bosses_used,median_with_pi,median_without_pi,uplift_pct,uplift_top_pct,pi_rate_top10_pct,pi_rate_pct
Evoker,Devastation,250,638,9,146692,139118,4.04,5.87,56.8,28.2
Druid,Feral,211,679,9,153585,146639,4.42,5.75,51.7,23.7
Mage,Fire,324,557,9,152479,146817,3.33,3.63,57.3,36.8
Mage,Arcane,144,641,7,130254,129691,4.83,3.43,27.8,18.3
Warrior,Arms,225,664,8,157438,150530,1.35,3.22,44.3,25.3
Shaman,Enhancement,316,573,9,158529,155006,1.86,2.45,51.7,35.5
Rogue,Assassination,104,739,7,153825,137371,1.31,2.44,24.1,12.3
Monk,Windwalker,497,400,9,168797,160755,1.86,2.37,76.7,55.4
Warlock,Affliction,287,584,9,147376,139969,1.52,2.36,52.2,33.0
Death Knight,Frost,148,737,9,167474,163285,0.68,2.08,32.6,16.7
Hunter,Survival,257,626,9,166916,163634,1.21,2.02,47.2,29.1
Paladin,Retribution,353,544,9,168645,155425,1.57,2.01,61.1,39.4
Warrior,Fury,146,748,8,161976,155317,0.89,1.87,28.1,16.3
Hunter,Marksmanship,295,600,9,177758,157963,1.51,1.82,52.8,33.0
Druid,Balance,288,608,9,169584,166065,1.64,1.8,50.6,32.1
Warlock,Destruction,231,594,9,151631,145360,1.76,1.25,33.7,28.0
Warlock,Demonology,456,439,9,167886,163111,0.76,1.21,71.1,50.9
Shaman,Elemental,484,409,9,174067,171280,0.6,0.76,62.2,54.2
Demon Hunter,Havoc,156,738,9,167978,163103,0.46,0.68,25.6,17.4
Mage,Frost,252,635,9,170241,165348,0.4,0.65,37.5,28.4
Hunter,Beast Mastery,309,582,9,151540,153058,0.37,0.4,43.7,34.7
Demon Hunter,Devourer,186,708,9,178372,172561,0.4,0.39,24.7,20.8
Rogue,Subtlety,98,798,9,162611,161640,0.52,0.33,13.5,10.9
Death Knight,Unholy,300,590,9,169303,163029,0.02,0.15,38.2,33.7
Rogue,Outlaw,113,783,7,157019,145312,2.02,-0.2,15.6,12.6
