encounter_id,encounter_name,class,spec,rank,character,guild,server,region,dps,item_level,duration_ms,report_id,fight_id,start_time
3176,Imperator Averzian,Death Knight,Frost,1,Voldkai,G A M B I T,Stormscale,EU,230583.73693602,292,121613,4hMj2nDcpATB3N6t,104,1783258235209
3176,Imperator Averzian,Death Knight,Frost,2,Wine,Death Wish,Kazzak,EU,199360.2129934,289,148737,82FtVXHqZAT9RByQ,32,1781725000721
3176,Imperator Averzian,Death Knight,Frost,3,Piddidy,,Draenor,EU,198146.67792793,291,106560,7rWQcZA8YmLMPGVD,1,1783501275721
3176,Imperator Averzian,Death Knight,Frost,4,Anonymous,,,,197443.80080414,290,148979,a:z1dRnbm9VvKWhxXp,1,1781948517581
3176,Imperator Averzian,Death Knight,Frost,5,Udiewemoveon,,Area 52,US,195664.48279044,289,140881,pB1nWrQPKqH8vCAM,28,1781877299656
3176,Imperator Averzian,Death Knight,Frost,6,Bearid,,Aegwynn,US,194866.21450029,289,161445,1XtkmG4WBgVZanJN,7,1783022126493
3176,Imperator Averzian,Death Knight,Frost,7,Anonymous,,,,194092.89909237,290,127364,a:p7nNLHfxYP8MTVtj,12,1782480278513
3176,Imperator Averzian,Death Knight,Frost,8,Gyul,풀로소득,아즈샤라,KR,190556.99084699,293,110237,jFb9zgptLm3XRQnc,54,1782539146930
3176,Imperator Averzian,Death Knight,Frost,9,죽음의기사냉기,,아즈샤라,KR,189009.36476626,292,104434,HxzK8kMmP74Awy3p,14,1783650315154
3176,Imperator Averzian,Death Knight,Frost,10,Spectrê,,Silvermoon,EU,186828.70822014,290,133258,RFQVbHdcWAxBn2kM,14,1782050971402
3176,Imperator Averzian,Death Knight,Frost,11,Mclayne,CyaThursday,Ravencrest,EU,185472.41742553,292,144294,LCxGd1BDzahnZJ2A,21,1782412321276
3176,Imperator Averzian,Death Knight,Frost,12,Heartblood,,Zenedar,EU,185018.7489818,292,141181,mWPcxDKnXdF8RHb6,20,1782818947461
3176,Imperator Averzian,Death Knight,Frost,13,Tyhd,Rabid Porcupine,Dragonblight,EU,184344.62151394,292,77308,DkpJGrNbmPFYQh6C,4,1783105943679
3176,Imperator Averzian,Death Knight,Frost,14,Poftim,Axon Terminal,Tarren Mill,EU,184329.3363181,292,108998,x6wnmRh4YLWa7NcA,16,1783189910719
3176,Imperator Averzian,Death Knight,Frost,15,Naradecay,Wyrmrest,Hyjal,EU,184005.72434283,291,114773,R8QTjkH6Cq2MWbVw,158,1782292589179
3176,Imperator Averzian,Death Knight,Frost,16,라볶이치즈김밥,,아즈샤라,KR,183675.97273409,292,122644,gMc4VhZm2KGBwPpF,31,1782991002040
3176,Imperator Averzian,Death Knight,Frost,17,Monkeysmash,Yrrol,Kazzak,EU,183444.35246029,292,77308,DkpJGrNbmPFYQh6C,4,1783105943679
3176,Imperator Averzian,Death Knight,Frost,18,Littleturtls,奧米利斯草莓園,夜空之歌,TW,183235.8470123,292,147672,zGLvjyYFDrpbRqt8,12,1783602124775
3176,Imperator Averzian,Death Knight,Frost,19,Ezdead,,Kazzak,EU,181352.12991069,291,147917,4kTt9QFz3VdDLCMn,12,1783105274126
3176,Imperator Averzian,Death Knight,Frost,20,Crazydamage,,Kazzak,EU,179940.3572569,290,153447,XPhnDNR4tMjp2B8H,71,1783258424706
3176,Imperator Averzian,Death Knight,Frost,21,Anonymous,,,,179502.26116829,289,149038,a:cRYVQ9atLzKMhd8q,15,1782048854085
3176,Imperator Averzian,Death Knight,Frost,22,Duskgrave,,Silvermoon,EU,179116.44085361,288,104216,PRMZmgVDHnJ4B9Xh,30,1783329879860
3176,Imperator Averzian,Death Knight,Frost,23,Anonymous,,,,178764.34098136,292,134283,a:MxZHK4Yq83Dp7nmB,5,1783676605638
