encounter_id,encounter_name,class,spec,rank,character,guild,server,region,dps,item_level,duration_ms,report_id,fight_id,start_time
3176,Imperator Averzian,Death Knight,Frost,1,쿠와아아앙,태상이와 아이들,아즈샤라,KR,157602.9767021,290,221050,daWQZjK3Nbg9npfP,49,1778722751883
3176,Imperator Averzian,Death Knight,Frost,2,Festerbloom,No Hard Feelings,Silvermoon,EU,157595.45701186,289,200881,ndqbNkM46QXjtxpH,66,1778687749792
3176,Imperator Averzian,Death Knight,Frost,3,룬부패,즐와,아즈샤라,KR,153399.80735834,290,210754,qVrgRnbNZ6Bfv38A,9,1778986565350
3176,Imperator Averzian,Death Knight,Frost,4,Faero,DMG,Illidan,US,151430.36052819,289,243698,9QhvWBrZngzJfAqY,5,1778885491593
3176,Imperator Averzian,Death Knight,Frost,5,Potatoesdk,Fragglene,Kazzak,EU,149724.59177788,286,201116,LmM6Q74bKtazCPcr,5,1778679053916
3176,Imperator Averzian,Death Knight,Frost,6,丶圆帝凯,海阔天空,血色十字军,CN,149385.00812776,285,266371,mWGzg6bp2Rfx9nwV,2,1778848861315
3176,Imperator Averzian,Death Knight,Frost,7,Vildk,Infinity,Area 52,US,148155.87296873,289,222213,RMYz31rGxg98vVQc,4,1778630875732
3176,Imperator Averzian,Death Knight,Frost,8,Mynoow,Burden,Blackhand,EU,146848.12269793,290,201992,GTfwyLh3dqAcYpzg,2,1778694952711
3176,Imperator Averzian,Death Knight,Frost,9,崇高圣母灵丝,,永恒之井,CN,146711.53166741,284,294372,cBXZCQGpAy1Jnw73,89,1778720169615
3176,Imperator Averzian,Death Knight,Frost,10,画惜丶,,死亡之翼,CN,146430.77824241,286,307295,Zn2prA7xg9fQVzFJ,10,1778807335637
3176,Imperator Averzian,Death Knight,Frost,11,落雨为我证明,,凤凰之神,CN,146185.73728477,278,354673,gRPatf8Bh2ZLHCD1,149,1778908428396
3176,Imperator Averzian,Death Knight,Frost,12,Jailsonn,Gorilla Mode,Azralon,US,145680.02041424,283,291953,d4t7pPrQwfMHAVvN,14,1778025575313
3176,Imperator Averzian,Death Knight,Frost,13,嘎爹嘎啦,,普罗德摩,CN,145453.95995745,278,360067,dLjA6qFTBfaZxKz8,10,1778151424736
3176,Imperator Averzian,Death Knight,Frost,14,Apexdk,Pathogen,Mal'Ganis,US,144937.12896105,290,227402,KpLWwThyr8gxC94V,62,1778631669894
3176,Imperator Averzian,Death Knight,Frost,15,Hctaz,TAG,Tichondrius,US,144799.03247388,289,233172,K97FJMLXcRTm1vrw,11,1778803143158
