class,spec,n,unique_spells,apm,bigram_entropy,difficulty,ease
Hunter,Marksmanship,18,14.5,41.2,1.595,0.2066936155035073,0.7933063844964927
Mage,Arcane,18,16.0,47.7,1.495,0.2694337275438182,0.7305662724561818
Demon Hunter,Devourer,17,11.0,78.9,1.141,0.2902232486528099,0.7097767513471901
Hunter,Beast Mastery,18,14.0,51.9,1.787,0.32570319907148965,0.6742968009285104
Warlock,Affliction,18,14.5,46.0,1.975,0.3415328034176441,0.6584671965823559
Mage,Frost,19,16.0,49.0,1.854,0.3719195298432924,0.6280804701567075
Hunter,Survival,18,17.5,49.7,1.861,0.41757302311967476,0.5824269768803252
Rogue,Subtlety,18,17.5,59.9,1.638,0.43865034689625704,0.561349653103743
Evoker,Devastation,20,15.0,55.0,2.045,0.4416693232010685,0.5583306767989316
Shaman,Elemental,20,17.0,53.3,1.909,0.4448308965979793,0.5551691034020207
Evoker,Augmentation,18,16.0,53.0,2.098,0.4655666463388013,0.5344333536611987
Warlock,Demonology,18,17.0,51.6,2.061,0.47089898130943847,0.5291010186905616
Druid,Balance,18,16.5,56.3,2.028,0.4857593739054094,0.5142406260945906
Warlock,Destruction,18,17.0,52.3,2.138,0.49612287842206704,0.503877121577933
Monk,Windwalker,19,18.0,47.0,2.262,0.5129055859893872,0.4870944140106128
Death Knight,Unholy,19,19.0,56.1,1.979,0.535699932518077,0.464300067481923
Mage,Fire,18,14.5,79.0,1.784,0.5463729313010594,0.45362706869894065
Druid,Feral,18,20.0,55.5,2.238,0.623440207016564,0.376559792983436
Rogue,Assassination,21,20.0,79.2,1.575,0.6350999904904763,0.3649000095095237
Warrior,Arms,19,19.0,56.3,2.435,0.6547048025108071,0.3452951974891929
Rogue,Outlaw,18,19.0,68.1,2.112,0.6623393757707038,0.3376606242292962
Death Knight,Frost,19,21.0,72.0,2.031,0.7227789885106833,0.27722101148931666
Demon Hunter,Havoc,18,24.0,65.2,1.946,0.7254581755315289,0.2745418244684711
Paladin,Retribution,17,19.0,84.5,2.115,0.7893631355764278,0.2106368644235722
Warrior,Fury,17,22.0,74.1,2.155,0.7965285936915522,0.20347140630844784
Priest,Shadow,19,22.0,77.3,2.114,0.8106013615917202,0.18939863840827975
Shaman,Enhancement,18,20.5,82.8,2.208,0.8386944073841497,0.1613055926158503
