kr,cls,spec,new_all,old_all,chg%,new_st,new_cleave,rank_new,rank_old,rank_chg,st_rank
포식,Demon Hunter,Devourer,181222.22222222222,159505.74256742257,13.614857562648663,162960.0,204050.0,1,1,0,2
증강,Evoker,Augmentation,178677.77777777778,159115.94791725758,12.294072414848456,165260.0,195450.0,2,2,0,1
냉법,Mage,Frost,175544.44444444444,156936.6403537582,11.856889537549353,159020.0,196200.0,3,3,0,4
악마,Warlock,Demonology,172488.88888888888,153118.85997880672,12.65032205226917,155680.0,193500.0,4,4,0,8
조화,Druid,Balance,172266.66666666666,147817.66942174814,16.539969369400275,158220.0,189825.0,5,9,4,7
사격,Hunter,Marksmanship,170911.11111111112,146934.78906376706,16.317661868993305,150900.0,195925.0,6,10,4,14
부정,Death Knight,Unholy,170666.66666666666,152632.20209865138,11.815635442617145,158600.0,185750.0,7,5,-2,5
정술,Shaman,Elemental,170144.44444444444,148912.98315508338,14.257629415193328,161560.0,180875.0,8,6,-2,3
파멸,Demon Hunter,Havoc,168377.77777777778,145875.7517180064,15.42547393570266,154340.0,185925.0,9,12,3,12
징벌,Paladin,Retribution,167911.11111111112,148390.2835595237,13.15505778635233,154280.0,184950.0,10,7,-3,13
풍운,Monk,Windwalker,167455.55555555556,143843.72177239775,16.41492134117508,155640.0,182225.0,11,17,6,9
무기,Warrior,Arms,167088.88888888888,145682.07046330738,14.694202490053975,146560.0,192750.0,12,13,1,18
잠행,Rogue,Subtlety,166355.55555555556,148314.39140116362,12.164135916921136,155580.0,179825.0,13,8,-5,10
생존,Hunter,Survival,165922.22222222222,146021.12938526634,13.62891310369767,155580.0,178850.0,14,11,-3,10
냉죽,Death Knight,Frost,165133.33333333334,144893.7084965368,13.968601567872984,158260.0,173725.0,15,15,0,6
분노,Warrior,Fury,164888.88888888888,143945.0756639815,14.549864334225383,149600.0,184000.0,16,16,0,15
야수,Hunter,Beast Mastery,162666.66666666666,145051.83839243805,12.143815941561286,145820.0,183725.0,17,14,-3,19
암흑,Priest,Shadow,162355.55555555556,143400.94517515128,13.217911748944843,148720.0,179400.0,18,18,0,16
고양,Shaman,Enhancement,158388.88888888888,134508.2596332345,17.754024415132584,147520.0,171975.0,19,19,0,17
파괴,Warlock,Destruction,156633.33333333334,133515.0889659524,17.315079925742573,136900.0,181300.0,20,20,0,23
고통,Warlock,Affliction,149977.77777777778,132271.1525905311,13.386611396712244,134840.0,168900.0,21,21,0,24
야성,Druid,Feral,148700.0,125697.27340809691,18.300099889375442,141100.0,158200.0,22,24,2,20
무법,Rogue,Outlaw,148177.77777777778,127060.80208376021,16.61958318199264,140320.0,158000.0,23,23,0,22
화염,Mage,Fire,148077.77777777778,128141.36834575218,15.558136836991633,141000.0,156925.0,24,22,-2,21
황폐,Evoker,Devastation,145688.88888888888,124352.67520296157,17.157824430478485,133460.0,160975.0,25,26,1,25
암살,Rogue,Assassination,143744.44444444444,124505.88146397621,15.451931068842395,132220.0,158150.0,26,25,-1,26
비전,Mage,Arcane,132777.77777777778,116808.07883926615,13.671741798344916,125580.0,141775.0,27,27,0,27
