class,spec,cleave_med,st_med,aoe_ratio,rot_rank,ease,unique_spells,apm,bigram_entropy,ease_log,consistency,uplift_pct,pi_rate_pct,pi_indep,cleave_parse,ease_f,consistency_f,pi_indep_f,score,kr
Hunter,Beast Mastery,152098.24465106998,132729.72652529,1.1459244935767239,1,1.0,14.0,51.1,1.821,0.6910628532873306,0.983,0.44,33.0,0.9516778523489933,0.6413361353545171,1.0,0.983,0.9516778523489933,0.9796872483221477,사냥 야수
Mage,Frost,165511.23121046,143211.159385845,1.155714623917912,4,0.8846153846153846,15.0,47.8,1.922,0.6587180671408164,1.0,0.49,32.8,0.9449664429530201,0.8004223829767053,0.8846153846153846,1.0,0.9449664429530201,0.9288151781104801,마법 냉기
Warlock,Destruction,98025.481655298,107454.040393395,0.9122549631118706,3,0.9230769230769231,18.0,50.4,2.226,0.491151346924452,0.805,0.19,35.8,0.9852348993288591,0.0,0.9230769230769231,0.805,0.9852348993288591,0.9212168301497161,흑마 파괴
Paladin,Retribution,154999.036518145,135824.44763692,1.141171852452378,2,0.9615384615384616,21.0,99.3,2.385,0.1022104738918897,0.933,1.22,30.1,0.8469798657718121,0.6757413061360281,0.9615384615384616,0.933,0.8469798657718121,0.9157352607124418,성기 징벌
Rogue,Subtlety,146199.61579443,138928.30779527,1.0523385630657451,7,0.7692307692307692,19.0,58.7,1.721,0.556111445648672,0.985,0.48,10.2,0.9463087248322147,0.57137477911489,0.7692307692307692,0.985,0.9463087248322147,0.8743618998451212,도적 잠행
Evoker,Devastation,148694.66733511,110079.97145105,1.350787662597015,5,0.8461538461538461,18.0,43.6,2.188,0.5395654676870631,0.712,1.31,26.8,0.8348993288590604,0.6009676207593083,0.8461538461538461,0.712,0.8348993288590604,0.8153839958699018,기원 황폐
Warrior,Fury,151162.90215251,131512.658918985,1.1494171237586341,10,0.6538461538461539,23.0,72.4,2.187,0.258897315531499,0.907,0.53,16.9,0.9395973154362416,0.630242399617244,0.6538461538461539,0.907,0.9395973154362416,0.8044898296334537,전사 분노
Hunter,Survival,156225.54664967,135747.450894915,1.1508543668389584,6,0.8076923076923077,19.0,46.9,1.946,0.5621029519908776,0.77,1.67,33.6,0.7865771812080538,0.6902884685916789,0.8076923076923077,0.77,0.7865771812080538,0.7927635518843573,사냥 생존
Hunter,Marksmanship,182338.15330272,117325.55417942,1.5541213896495178,8,0.7307692307692308,15.0,40.0,1.628,0.7814044362716929,0.782,1.5,45.1,0.8093959731543624,1.0,0.7307692307692308,0.782,0.8093959731543624,0.7685347444501807,사냥 사격
Warlock,Demonology,176663.92175201,140719.70542328502,1.2554312931554592,12,0.5769230769230769,18.0,49.0,2.175,0.5126975254793906,0.952,0.85,54.9,0.8966442953020134,0.9327001334456766,0.5769230769230769,0.952,0.8966442953020134,0.7638408879710893,흑마 악마
Demon Hunter,Devourer,180134.0332453,142304.395027035,1.2658360496250176,14,0.5,11.0,77.6,1.168,0.7886453063518831,0.915,-0.08,27.3,1.0,0.9738577841936126,0.5,0.915,1.0,0.758,악딜 포식
Death Knight,Frost,146784.83146173,135944.38085077,1.0797418072237932,11,0.6153846153846154,21.0,69.8,2.091,0.3468754827079827,0.897,1.15,17.9,0.8563758389261745,0.5783157958786247,0.6153846153846154,0.897,0.8563758389261745,0.756054620547238,죽기 냉기
Death Knight,Unholy,150174.311441795,144475.91839275,1.0394418191795411,15,0.46153846153846156,19.0,56.6,1.974,0.5000692224647216,0.955,0.28,36.0,0.9731543624161074,0.6185171074233364,0.46153846153846156,0.955,0.9731543624161074,0.7392963345379453,죽기 부정
Warrior,Arms,156070.525568635,122776.59275019,1.2711749208270278,9,0.6923076923076923,19.0,55.4,2.411,0.389624989962258,0.889,2.38,27.7,0.6912751677852349,0.6884498234864299,0.6923076923076923,0.889,0.6912751677852349,0.7312847702632937,전사 무기
Shaman,Elemental,153805.44855828502,139357.98068777,1.1036716218132092,13,0.5384615384615384,18.0,52.1,1.895,0.5703591602575322,0.879,1.28,59.7,0.8389261744966443,0.6615846208295617,0.5384615384615384,0.879,0.8389261744966443,0.7117318533815178,주술 정기
