class,spec,kr,pop_real,pop_favor,pop_avg,pops
Mage,Frost,냉마,1586,100.0,1586,"2000,759,2000"
DeathKnight,Unholy,부정,1585,100.0,1585,"2000,754,2000"
DemonHunter,Devourer,포식,1559,99.4,1559,"2000,676,2000"
Hunter,BeastMastery,야수,1303,93.6,1303,"2000,555,1353"
Warlock,Demonology,악마,1268,92.7,1268,"2000,430,1373"
Paladin,Retribution,징벌,1243,92.0,1243,"2000,388,1340"
Evoker,Augmentation,증강,1053,86.6,1053,"1539,556,1065"
Shaman,Elemental,정기,827,78.7,827,"1276,380,824"
Warrior,Fury,분노,784,76.9,784,"1413,209,731"
Rogue,Subtlety,잠행,747,75.3,747,"1313,275,654"
Druid,Balance,조화,735,74.8,735,"1108,333,764"
Priest,Shadow,암흑,604,68.4,604,"909,264,638"
Warrior,Arms,무기,491,61.6,491,"805,178,491"
Monk,Windwalker,풍운,467,59.9,467,"782,125,495"
Hunter,Survival,생존,422,56.6,422,"769,70,427"
DemonHunter,Havoc,파멸,405,55.3,405,"693,111,412"
DeathKnight,Frost,냉죽,351,50.6,351,"636,74,344"
Hunter,Marksmanship,사격,279,43.1,279,"370,206,260"
Warlock,Destruction,파괴,264,41.2,264,"144,351,298"
Shaman,Enhancement,고양,243,38.5,243,"450,47,233"
Druid,Feral,야성,219,35.1,219,"402,49,206"
Warlock,Affliction,고통,156,24.0,156,"282,39,146"
Evoker,Devastation,황폐,115,14.0,115,"171,42,132"
Rogue,Outlaw,무법,112,13.1,112,"194,31,111"
Mage,Fire,화염,100,9.4,100,"168,36,97"
Rogue,Assassination,암살,84,3.7,84,"151,27,74"
Mage,Arcane,비전,75,0.0,75,"126,38,61"
