class,spec,talent_id,tree,pick_rate,pick_rate_others
Death Knight,Frost,96161,spec?,1.0,0.0
Death Knight,Frost,96165,spec?,1.0,0.0
Death Knight,Frost,96173,spec?,1.0,0.0
Death Knight,Frost,96174,spec?,1.0,0.0
Death Knight,Frost,96176,spec?,1.0,0.0
Death Knight,Frost,96179,spec?,1.0,0.0
Death Knight,Frost,96180,spec?,1.0,0.0
Death Knight,Frost,96182,spec?,1.0,0.0
Death Knight,Frost,96183,spec?,1.0,0.0
Death Knight,Frost,96184,spec?,1.0,0.0
Death Knight,Frost,96187,spec?,1.0,0.0
Death Knight,Frost,96190,spec?,1.0,0.0
Death Knight,Frost,96194,spec?,1.0,0.0
Death Knight,Frost,96195,spec?,1.0,0.0
Death Knight,Frost,96196,spec?,1.0,0.0
Death Knight,Frost,96197,spec?,1.0,0.0
Death Knight,Frost,96198,spec?,1.0,0.0
Death Knight,Frost,96200,spec?,1.0,0.0
Death Knight,Frost,96201,spec?,1.0,0.0
Death Knight,Frost,96202,spec?,1.0,0.0
Death Knight,Frost,96203,spec?,1.0,0.0
Death Knight,Frost,96205,spec?,1.0,0.0
Death Knight,Frost,96207,spec?,1.0,0.0
Death Knight,Frost,96208,spec?,1.0,0.0
Death Knight,Frost,96210,spec?,1.0,0.0
Death Knight,Frost,96213,spec?,1.0,0.0
Death Knight,Frost,96214,spec?,1.0,0.0
Death Knight,Frost,96216,spec?,1.0,0.0
Death Knight,Frost,96220,spec?,1.0,0.0
Death Knight,Frost,96222,spec?,1.0,0.0
Death Knight,Frost,96225,spec?,1.0,0.0
Death Knight,Frost,96228,spec?,1.0,0.0
Death Knight,Frost,96231,spec?,1.0,0.0
Death Knight,Frost,96236,spec?,1.0,0.0
Death Knight,Frost,96238,spec?,1.0,0.0
Death Knight,Frost,96239,spec?,1.0,0.0
Death Knight,Frost,96240,spec?,1.0,0.0
Death Knight,Frost,96242,spec?,1.0,0.0
Death Knight,Frost,96243,spec?,1.0,0.0
Death Knight,Frost,96244,spec?,1.0,0.0
Death Knight,Frost,96245,spec?,1.0,0.0
Death Knight,Frost,96246,spec?,1.0,0.0
Death Knight,Frost,96247,spec?,1.0,0.0
Death Knight,Frost,96248,spec?,1.0,0.0
Death Knight,Frost,96252,spec?,1.0,0.0
Death Knight,Frost,96253,spec?,1.0,0.0
Death Knight,Frost,96254,spec?,1.0,0.0
Death Knight,Frost,117629,spec?,1.0,0.0
Death Knight,Frost,117631,spec?,1.0,0.0
Death Knight,Frost,117633,spec?,1.0,0.0
Death Knight,Frost,117640,spec?,1.0,0.0
Death Knight,Frost,117646,spec?,1.0,0.0
Death Knight,Frost,117654,spec?,1.0,0.0
Death Knight,Frost,117655,spec?,1.0,0.0
Death Knight,Frost,117658,spec?,1.0,0.0
Death Knight,Frost,117659,spec?,1.0,0.0
Death Knight,Frost,117665,spec?,1.0,0.0
Death Knight,Frost,123324,spec?,1.0,0.0
Death Knight,Frost,123420,spec?,1.0,0.0
Death Knight,Frost,125874,spec?,1.0,0.0
Death Knight,Frost,125875,spec?,1.0,0.0
Death Knight,Frost,125876,spec?,1.0,0.0
Death Knight,Frost,125878,spec?,1.0,0.0
Death Knight,Frost,126015,spec?,1.0,0.0
Death Knight,Frost,126016,spec?,1.0,0.0
Death Knight,Frost,126017,spec?,1.0,0.0
Death Knight,Frost,131618,spec?,1.0,0.0
Death Knight,Frost,133362,spec?,1.0,0.0
Death Knight,Frost,135991,spec?,1.0,0.0
Death Knight,Frost,135992,spec?,1.0,0.0
Death Knight,Frost,135993,spec?,1.0,0.0
Death Knight,Frost,136523,spec?,1.0,0.0
Death Knight,Frost,136524,spec?,1.0,0.0
Death Knight,Frost,136526,spec?,1.0,0.0
Death Knight,Frost,136966,spec?,1.0,0.0
Death Knight,Frost,136967,spec?,1.0,0.0
Death Knight,Frost,136968,spec?,1.0,0.0
Demon Hunter,Devourer,112839,공용,1.0,1.0
Demon Hunter,Devourer,112841,공용,1.0,1.0
Demon Hunter,Devourer,112844,공용,1.0,1.0
Demon Hunter,Devourer,112845,공용,1.0,1.0
Demon Hunter,Devourer,112846,공용,1.0,1.0
Demon Hunter,Devourer,112847,공용,1.0,1.0
Demon Hunter,Devourer,112849,공용,1.0,1.0
Demon Hunter,Devourer,112850,공용,1.0,1.0
Demon Hunter,Devourer,112851,공용,1.0,1.0
Demon Hunter,Devourer,112852,공용,1.0,1.0
Demon Hunter,Devourer,112853,공용,1.0,1.0
Demon Hunter,Devourer,112859,공용,1.0,0.75
Demon Hunter,Devourer,112862,공용,1.0,1.0
Demon Hunter,Devourer,112863,공용,1.0,1.0
Demon Hunter,Devourer,112918,공용,1.0,1.0
Demon Hunter,Devourer,112919,공용,1.0,1.0
Demon Hunter,Devourer,112921,공용,1.0,1.0
Demon Hunter,Devourer,112926,공용,1.0,0.75
Demon Hunter,Devourer,117755,공용,1.0,1.0
Demon Hunter,Devourer,117758,공용,1.0,1.0
Demon Hunter,Devourer,117759,공용,1.0,1.0
Demon Hunter,Devourer,117762,공용,1.0,1.0
Demon Hunter,Devourer,136501,공용,1.0,1.0
Demon Hunter,Devourer,136502,공용,1.0,1.0
Demon Hunter,Devourer,112838,공용,0.5,0.75
Demon Hunter,Devourer,112861,공용,0.5,1.0
Demon Hunter,Devourer,117768,공용,0.5,0.75
Demon Hunter,Devourer,112927,공용,0.5,0.75
Demon Hunter,Devourer,112848,미분류,1.0,0.25
Demon Hunter,Devourer,112914,미분류,0.5,0.25
Demon Hunter,Devourer,132278,전문화,1.0,0.0
Demon Hunter,Devourer,132280,전문화,1.0,0.0
Demon Hunter,Devourer,132281,전문화,1.0,0.0
Demon Hunter,Devourer,132282,전문화,1.0,0.0
Demon Hunter,Devourer,132283,전문화,1.0,0.0
