rank,dps,ilvl,crit,haste,mast,vers,build,ch_ratio
1,147769.31253745,290,869,790,980,52,단일,1.0986093552465235
2,140222.45625058,290,1360,594,1238,124,단일,2.2857142857142856
3,140141.88668462,290,1125,663,856,100,단일,1.694277108433735
4,139453.84008867,289,757,733,1117,68,단일,1.0313351498637602
5,139149.56308432,290,932,640,1093,52,단일,1.453978159126365
6,139088.85751372,290,728,548,1329,52,단일,1.326047358834244
7,139063.19244195,289,809,746,1072,104,단일,1.0829986613119142
8,138896.9751383,290,945,792,1783,52,단일,1.1916771752837327
9,138742.56888227,289,522,1043,1128,28,단일,0.5
10,138710.22778837,290,905,462,1266,52,단일,1.9546436285097193
11,138407.11258707,290,439,1042,1110,155,단일,0.42090124640460214
12,137666.56913489,290,1091,650,907,52,단일,1.6758832565284179
13,137636.28965865,290,786,580,1499,165,단일,1.3528399311531842
14,137292.43244335,290,489,1057,2141,108,단일,0.4621928166351607
15,137184.87571195,290,686,777,1280,153,단일,0.8817480719794345
16,137097.60069754,290,587,1033,1420,0,단일,0.5676982591876208
17,136859.19434141,289,1034,358,1158,102,단일,2.8802228412256268
18,136679.15502022,290,1051,739,910,0,단일,1.4202702702702703
19,136619.21502649,289,862,734,996,165,단일,1.1727891156462584
20,136519.63254542,290,718,1061,1023,84,단일,0.6760828625235404
21,136478.43569986,290,761,692,1155,104,단일,1.098124098124098
22,136463.80550798,290,685,614,1308,124,단일,1.113821138211382
23,136383.09029047,290,856,669,1108,84,단일,1.2776119402985076
24,136353.57723094,289,945,723,948,52,단일,1.3052486187845305
25,136322.90128169,289,514,1011,1237,125,단일,0.5079051383399209
26,136179.71060875,290,951,752,976,86,단일,1.2629482071713147
27,136174.02061438,289,567,1050,1030,52,단일,0.5394862036156042
28,135914.33706289,290,792,749,1025,145,단일,1.056
29,135671.20426417,290,463,920,2107,68,단일,0.50271444082519
30,135090.63288019,289,1245,446,950,100,단일,2.785234899328859
31,135071.2227688,290,666,760,1245,84,단일,0.8751642575558476
32,135044.68745433,290,1075,538,1956,52,단일,1.9944341372912802
33,134956.81705966,290,575,809,1546,52,단일,0.7098765432098766
44,133789.76423285,290,1008,801,876,36,단일,1.256857855361596
46,133778.45981721,286,608,872,1040,132,단일,0.6964490263459335
56,132933.56319685,289,976,635,1240,332,단일,1.5345911949685536
67,132183.11912137,287,713,753,1325,104,단일,0.9456233421750663
73,131870.05576548,289,823,735,1213,117,단일,1.1182065217391304
93,131131.42906012,289,927,789,1964,104,단일,1.1734177215189874
