boss,rank,dps,build,dr_n,sen_n,dur,rid,fid,char
Imperator Averzian,1,186830.65991198,DR,14,0,180.418,XjLYVrNdvf7PAqh6,46,Chewingtoy
Imperator Averzian,2,181159.94710535,DR,14,0,202.667,b2XVanKQjq8fgdYH,7,파개왕태우스
Imperator Averzian,3,172592.3217019,DR,14,0,206.452,mQkJF4zVCwTZj1Lt,11,Punisherinho
Imperator Averzian,4,169918.69631785,SEN,0,14,184.186,xTfg9cdzHQADCYXF,9,Neyebae
Imperator Averzian,5,169281.32868834,SEN,0,14,279.584,gpjWaPMqHRZ2XmDF,8,西瓜大魔王啊
Imperator Averzian,7,166369.46601199,SEN,0,14,294.295,8T6KvbcpjXfz9tD1,102,风行者之矢
Imperator Averzian,8,164588.03355013,SEN,0,14,281.37,FdTMqAYcHwDWh6j1,23,兮月丶丶
Imperator Averzian,9,162835.56011208,SEN,0,14,274.088,njHwDWFPZJ2rm6TK,35,Майкинемаг
Imperator Averzian,10,162694.31587122,SEN,0,14,293.607,8T6KvbcpjXfz9tD1,9,Bluesflower
Imperator Averzian,11,162667.02628018,DR,14,0,211.338,D9fGygdbFV7a14cP,8,Taewoos
Imperator Averzian,12,162211.33327477,SEN,0,14,295.978,pDbKT3GNk2VP7Fqj,1,喃兑啊内
Imperator Averzian,13,161241.82314751,SEN,0,14,317.451,ZPqgNfJpAkTVwbrz,9,命終紸錠
Imperator Averzian,14,160316.34990156,SEN,0,14,298.644,b8W9VAkz4dMNL73v,49,裂爸
Imperator Averzian,15,159743.5525271,SEN,0,14,270.765,gCWTdL4DkXYnhMwR,42,赫赫呢
Imperator Averzian,16,159529.87098718,DR,14,0,278.732,Gqv8KXFbj7DY9WhL,11,Geethdwarf
Imperator Averzian,17,159525.22313616,SEN,0,14,274.272,hzF92TjVRBmftdYv,2,一只王大可
Imperator Averzian,18,159259.04485711,DR,14,0,267.583,jfktw43p7Jd1HvZr,1,Danaix
Imperator Averzian,19,158950.20519567,SEN,0,14,304.831,nqG7FwZRg8tzLrMD,1,白牙丶
Imperator Averzian,20,158791.87691075,DR,14,0,269.528,dVWFrj8QPfxtDyAb,15,긁혔냥
Imperator Averzian,21,158703.19887206,DR,14,0,273.065,pcLwdWD8NR1Vtxyn,11,냥에카
Imperator Averzian,22,157379.50178785,SEN,0,14,268.199,tXDyHMQANZCgmd7j,4,玩丶不丶转
Imperator Averzian,23,156397.72658312,SEN,0,14,263.656,zHFjnBdqRM4Py1KY,5,猎人初号机
Imperator Averzian,24,156209.60062937,DR,14,0,221.173,7hYPJfbx1jpXgaVH,9,칩금
Imperator Averzian,25,156107.79270092,DR,14,0,297.599,2tgvFB8pxXjRZ6YV,11,马丨克
Imperator Averzian,26,155683.89303727,DR,14,0,228.603,Q8fBVxC1ZYj7nFPW,11,태우스
Imperator Averzian,27,155484.46645199,SEN,0,14,296.262,LgnKtyrQzpYGFCbx,65,帕提亚
Imperator Averzian,28,155411.76855249,SEN,0,14,290.554,YTdWBwpMN4P7zXnA,8,米咕咕饲养员
Imperator Averzian,29,155392.51261394,DR,14,0,240.805,JYKPC82hcBtZbjVr,12,주학몬
Imperator Averzian,30,155290.23404455,DR,14,0,212.78,9DhR1njgK3VAFvrx,12,Членвнутри
Imperator Averzian,31,154907.1074411,DR,14,0,214.592,KgTWywC74rfMZ8k1,8,보잭이
Imperator Averzian,32,154758.15669878,SEN,0,14,275.05,9hR74XTV2Y8zZWxH,10,等一生都等
Imperator Averzian,33,154718.29633026,SEN,0,14,274.842,KYcfBaMXdhx629bp,2,博士后学历
Imperator Averzian,35,154684.0490387,SEN,0,14,298.866,TVtmcfHW1RFzjkdr,2,Kirayamto
Imperator Averzian,38,153957.18486767,SEN,0,14,300.945,LzAj3JDFmkM7b4VG,8,Personaq
Imperator Averzian,39,153676.93077891,DR,14,0,275.653,BCbLNZPFfh8Amaj2,8,스파게티
Imperator Averzian,45,152826.01195447,SEN,0,14,273.036,jYRWmr4QPqBGF2y9,15,就这个吧
Imperator Averzian,61,151290.71242268,SEN,0,14,307.486,6R3bGnNPxzVByQdA,8,雇佣兵丶放狗
Imperator Averzian,64,150857.42288174,SEN,0,14,275.486,19GYXLhwTcdvfFmy,48,Fatfckinchud
Imperator Averzian,74,150452.29437033,SEN,0,14,263.994,J4kcaTwD3NC6ytRH,10,绝二十一
Imperator Averzian,76,150284.41239484,SEN,0,14,287.055,dGrYzWJ3N2yRMcfL,106,天天打老虎
Imperator Averzian,80,149710.5243318,SEN,0,14,278.545,vWb96BH48zhaKrLC,84,猎人二号机
Imperator Averzian,88,148721.3871992,SEN,0,14,302.653,mqRLzphA6bT7kJP2,4,Jxx
Imperator Averzian,93,148253.13865369,SEN,0,14,368.948,wgJxdcjhrnm82Vp7,14,小黑二十一
Imperator Averzian,100,147828.11594101,DR,14,0,284.593,Cw3YKDgH269PnybV,50,진라면
Vorasius,1,139606.35069975,DR,14,0,212.575,ZYHJVCNgQ8FBjMbm,16,陈年风褛
Vorasius,2,136578.92910153,DR,14,0,270.838,Z1NBy8TbmjFrHCA4,12,Solduck
Vorasius,3,136423.24413912,DR,14,0,249.792,MdAxgVzCpBZ1J7k9,20,냥에카
Vorasius,4,135876.88348044,DR,14,0,261.484,gt7nFj4Zq9MK2wpC,13,주학몬
Vorasius,5,135619.19004388,DR,14,0,274.163,DPCdLm9hYnNGpvzM,48,냥냥에카
Vorasius,6,134131.67398487,DR,14,0,279.668,ZAHn8PTrRyKzqk2p,17,Mortälity
Vorasius,7,133988.73192062,DR,14,0,255.678,ZM1ckGYCav6tgzpq,15,파개왕태우스
Vorasius,8,132885.96185522,DR,14,0,272.593,RmrbhM7Nw4aA91DT,22,Varàs
Vorasius,9,132783.16246962,DR,14,0,291.753,TWYxmAHMfhaCgN9G,34,Spoobyplz
Vorasius,10,132772.79524994,DR,14,0,270.144,FNdW9wGPnYAKZz7f,22,Lochhunt
Vorasius,11,132699.79653493,DR,14,0,259.504,mXbc8WptBM9QPZYN,15,Moojie
Vorasius,12,132229.5092141,DR,14,0,273.928,abcCNqtj89y2pLvR,16,Solhunt
Vorasius,13,132098.37713734,DR,14,0,273.529,KLhvj2CmpfPxNyAb,21,정유미최진이
Vorasius,14,131853.17677924,DR,14,0,279.009,Gqv8KXFbj7DY9WhL,15,Geethdwarf
Vorasius,15,131809.86983563,DR,14,0,268.353,62YjXbBcNW8fwQ71,20,격사냥꾼
Vorasius,16,131562.2750904,DR,14,0,228.703,Q8fBVxC1ZYj7nFPW,18,태우스
Vorasius,17,131097.1517682,DR,14,0,276.382,yXgZctYQDfvjhmMq,20,늙고병든망구
Vorasius,18,130928.4165762,DR,14,0,312.279,6R3bGnNPxzVByQdA,22,雇佣兵丶放狗
Vorasius,19,130820.87699469,DR,14,0,261.005,Br6Q7Lf8AFYwT4qN,30,每天睡饱饱
Vorasius,20,130410.80830465,DR,14,0,254.508,R4HFbwMBW1fYag6n,34,맘가비룡동전말리
Vorasius,21,129734.50710141,DR,14,0,273.819,f4ZrTPK6WNjDwmyQ,7,긁혔냥
